2023-07-18 16:07:51.986 [main] INFO  c.g.dbswitch.admin.logback.LogbackAppenderRegister - Success add and initialize appender of logback for class：com.gitee.dbswitch.data.service.MigrationService
2023-07-18 16:07:51.988 [main] INFO  c.g.dbswitch.admin.logback.LogbackAppenderRegister - Success add and initialize appender of logback for class：com.gitee.dbswitch.data.handler.MigrationHandler
2023-07-18 16:07:51.992 [main] INFO  com.gitee.dbswitch.admin.AdminApplication - Starting AdminApplication on LAPTOP-K57H29U2 with PID 7824 (F:\MigrationToolkit\dbswitch-master\dbswitch-admin\target\classes started by 张忠振 in F:\MigrationToolkit)
2023-07-18 16:07:51.992 [main] INFO  com.gitee.dbswitch.admin.AdminApplication - No active profile set, falling back to default profiles: default
2023-07-18 16:07:52.942 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2023-07-18 16:07:52.987 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 40ms. Found 0 JDBC repository interfaces.
2023-07-18 16:07:53.104 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.gitee.dbswitch.admin]' package. Please check your configuration.
2023-07-18 16:07:53.581 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9088 (http)
2023-07-18 16:07:53.589 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9088"]
2023-07-18 16:07:53.589 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-07-18 16:07:53.589 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2023-07-18 16:07:53.679 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-18 16:07:53.679 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1639 ms
